Date,Open,High,Low,Close,Adj Close,Volume,Date,DaysBack,NextDayGain|Loss%,LstSqk_5Days,LstSqbias_5Days,LstSqk_10Days,LstSqbias_10Days,LstSqk_20Days,LstSqbias_20Days,LstSqk_50Days,LstSqbias_50Days,LstSqk_200Days,LstSqbias_200Days,5DMovAve,20DMovAve,200DMovAve,UpBlg,LwBlg,NormalizedBollinger,14-Day RSI,StcOsc K%,StcOsc D%,StcOsc D%D%,StcOsc K%-D%,StcOsc Diff(K%-D%)
2017-10-11,74.660004,75.690002,74.379997,75.629997,75.629997,1368454,2017-10-11,0,,,,,,,,,,,,75.2479998,76.26449935,71.18669973,2.58058802181,-2.58058802181,-0.24587510468,47.4147345516,0.450819242139,0.300546229732,0.27612228169,0.150273012407,
2017-10-10,74.339996,74.790001,73.639999,74.559998,74.559998,1245300,2017-10-10,-1,1.4350845342,,,,,,,,,,,75.6360004,76.2199994,71.144399735,2.65624270768,-2.65624270768,-0.624943419213,37.4133891055,0.231557062114,0.164041485345,0.363444274038,0.067515576768,0.0827574356389
2017-10-09,73.5,75.300003,73.43,74.5,74.5,2026200,2017-10-09,-2,0.0805342281879,,,,,,,,,,,76.2740008,76.24349945,71.10764974,2.60217202947,-2.60217202947,-0.670016982065,39.9113037301,0.219262384944,0.363779129993,0.58727278594,-0.14451674505,0.212032321818
2017-10-06,77.730003,77.849998,73.709999,73.900002,73.900002,2600800,2017-10-06,-3,0.811905255429,,,,,,,,,,,76.932001,76.22699935,71.07259973,2.65242071768,-2.65242071768,-0.877310803104,43.8342292572,0.0413050089794,0.562512206775,0.750599110185,-0.521207197796,0.376690452746
2017-10-05,77.730003,78.07,77.419998,77.650002,77.650002,708200,2017-10-05,-4,-4.82936239976,-0.3380014,74.571997,,,,,,,,,77.6660006,76.24949915,71.04314973,2.57583658288,-2.57583658288,0.543707958536,73.2372029606,0.830769996056,0.835527021051,0.850074771772,-0.00475702499443,-0.516450172801
2017-10-04,77.540001,77.650002,77.110001,77.57,77.57,678600,2017-10-04,-5,0.103135232693,-0.9170006,73.8019992,,,,,,,,,77.6619996,76.0529991,70.993399705,2.72147963811,-2.72147963811,0.557417692478,73.1079183749,0.815461615289,0.853758102728,0.857492990431,-0.038296487439,0.0335394624446
2017-10-03,77.620003,78.0,77.150002,77.75,77.75,856900,2017-10-03,-6,-0.231511254019,-1.0169998,74.2400012,,,,,,,,,77.573999,75.8839992,70.945849695,2.74452148597,-2.74452148597,0.679900233807,74.7940856672,0.860349451807,0.860939191537,0.861654121029,-0.000589739729928,-0.0377067477091
2017-10-02,77.669998,77.82,77.150002,77.790001,77.790001,693100,2017-10-02,-7,-0.0514217759169,-0.7879996,75.3560018,,,,,,,,,77.2979996,75.71549905,70.9001497,2.67507438201,-2.67507438201,0.775493184022,71.8354588608,0.885463241087,0.857781677028,0.851277868221,0.0276815640595,-0.0282713037894
2017-09-29,77.57,77.830002,77.010002,77.57,77.57,572700,2017-09-29,-8,0.283616088694,-0.00599970000001,77.6540012,,,,,,,,,77.164,75.59449915,70.852499705,2.49268819901,-2.49268819901,0.792518234243,74.4253017241,0.837004881717,0.866241494522,0.857646189843,-0.0292366128051,0.0569181768645
2017-09-28,77.099998,78.309998,76.980003,77.629997,77.629997,699900,2017-09-28,-9,-0.0772858460886,0.00600059999999,77.6740008,-0.406000066667,74.6279994,,,,,,,76.9339996,75.484999,70.810949715,2.31324336354,-2.31324336354,0.927268628026,73.1638249306,0.850876908279,0.829810433112,0.856348872286,0.0210664751669,-0.0503030879719
