Date,Open,High,Low,Close,Adj Close,Volume,Date,DaysBack,NextDayGain|Loss%,LstSqk_5Days,LstSqbias_5Days,LstSqk_10Days,LstSqbias_10Days,LstSqk_20Days,LstSqbias_20Days,LstSqk_50Days,LstSqbias_50Days,LstSqk_200Days,LstSqbias_200Days,5DMovAve,20DMovAve,200DMovAve,UpBlg,LwBlg,NormalizedBollinger,14-Day RSI,StcOsc K%,StcOsc D%,StcOsc D%D%,StcOsc K%-D%,StcOsc Diff(K%-D%)
2017-10-11,111.620003,112.245003,110.900002,112.029999,112.029999,1253174,2017-10-11,0,,,,,,,,,,,,111.7579986,110.1044994,93.46799996,2.56454663555,-2.56454663555,0.750814811987,72.6993962419,0.912639170617,0.90149902443,0.904838031416,0.0111401461862,
2017-10-10,112.040001,112.5,111.230003,111.790001,111.790001,1308200,2017-10-10,-1,0.214686463774,,,,,,,,,,,111.469998,110.02449945,93.30844998,2.4065994554,-2.4065994554,0.73360838923,61.3079383989,0.868029852061,0.898515387713,0.885531197958,-0.0304855356516,0.0416256818379
2017-10-09,111.589996,112.239998,111.580002,111.849998,111.849998,677800,2017-10-09,-2,-0.0536405910351,,,,,,,,,,,111.2319974,109.9149993,93.14719998,2.2633963562,-2.2633963562,0.85490934661,64.036220468,0.923828050613,0.914499682104,0.846044010899,0.00932836850909,-0.0398139041607
2017-10-06,111.389999,111.739998,110.860001,111.529999,111.529999,1250000,2017-10-06,-3,0.286917423894,,,,,,,,,,,110.8919982,109.70849945,92.99750001,2.27364897383,-2.27364897383,0.801134902952,60.0518573416,0.903688260464,0.843578524058,0.76844195692,0.0601097364063,-0.0507813678972
2017-10-05,111.309998,111.889999,110.760002,111.589996,111.589996,1399500,2017-10-05,-4,-0.0537655723189,0.1140008,111.9860002,,,,,,,,,110.4239988,109.4369994,92.84915002,2.62715395049,-2.62715395049,0.819516724399,58.4595728433,0.915982735235,0.780053826536,0.688765357429,0.135928908699,-0.0758191722932
2017-10-04,110.599998,111.0,109.720001,110.589996,110.589996,1613000,2017-10-04,-5,0.904240922479,0.2660012,112.0020004,,,,,,,,,109.945999,109.1824996,92.698100025,2.7330096416,-2.7330096416,0.514998695423,48.9218056393,0.711064576474,0.681693520167,0.610287953272,0.0293710563073,0.106557852392
2017-10-03,110.580002,111.269997,110.199997,110.599998,110.599998,1427200,2017-10-03,-6,-0.00904339980187,0.3440003,111.919998,,,,,,,,,109.6699996,109.01749985,92.54910005,2.77338400799,-2.77338400799,0.5706018876,51.0995995341,0.713114167898,0.604548725585,0.555052653149,0.108565442313,-0.0791943860055
2017-10-02,109.239998,110.989998,109.199997,110.150002,110.150002,1433100,2017-10-02,-7,0.408530178692,0.3749992,111.6419966,,,,,,,,,109.1160004,108.84150005,92.40900007,2.79719628414,-2.79719628414,0.467790536338,53.3908992871,0.620901816128,0.544621614064,0.506128966843,0.0762802020645,0.0322852402483
2017-09-29,109.080002,110.150002,109.050003,109.190002,109.190002,1468900,2017-09-29,-8,0.879201375965,0.5239982,111.4719952,,,,,,,,,108.5899994,108.7080001,92.26285005,2.78909570812,-2.78909570812,0.172816550754,58.1395413222,0.47963019273,0.515987619799,0.447563492498,-0.0363574270692,0.112637629134
2017-09-28,109.260002,109.410004,108.190002,109.199997,109.199997,1192400,2017-09-28,-9,-0.00915293065437,0.4189994,110.7839978,0.339151478788,112.378180455,,,,,,,108.5819994,108.6534999,92.117000025,2.79203551154,-2.79203551154,0.195734294117,64.5676548897,0.533332833333,0.457777666667,0.398381807927,0.0755551666667,-0.111912593736
