Date,Open,High,Low,Close,Adj Close,Volume,Date,DaysBack,NextDayGain|Loss%,LstSqk_5Days,LstSqbias_5Days,LstSqk_10Days,LstSqbias_10Days,LstSqk_20Days,LstSqbias_20Days,LstSqk_50Days,LstSqbias_50Days,LstSqk_200Days,LstSqbias_200Days,5DMovAve,20DMovAve,200DMovAve,UpBlg,LwBlg,NormalizedBollinger,14-Day RSI,StcOsc K%,StcOsc D%,StcOsc D%D%,StcOsc K%-D%,StcOsc Diff(K%-D%)
2017-10-11,189.600006,191.0,187.740005,190.940002,190.940002,13237734,2017-10-11,0,,,,,,,,,,,,185.4660002,180.4859993,134.94914979,11.8882834135,-11.8882834135,0.879353421885,66.9666868167,0.911803614859,0.836299659507,0.715855160357,0.0755039553519,
2017-10-10,191.429993,192.949997,187.259995,188.929993,188.929993,24290800,2017-10-10,-1,1.06389089847,,,,,,,,,,,183.4519988,179.45749895,134.543349775,11.63673587,-11.63673587,0.814016417989,54.6719067872,0.823606615412,0.708854390965,0.614009979791,0.114752224447,-0.0392482690954
2017-10-09,182.789993,186.729996,182.029999,185.389999,185.389999,14087300,2017-10-09,-2,1.90948488003,,,,,,,,,,,181.5399992,178.49149935,134.134249815,11.5329885744,-11.5329885744,0.59815368805,46.8427715174,0.773488748249,0.602411430599,0.55197620523,0.17107731765,-0.0563250932031
2017-10-06,179.649994,181.839996,179.0,181.300003,181.300003,7970000,2017-10-06,-3,2.25592715517,,,,,,,,,,,180.2619994,177.6719994,133.73644983,11.795309773,-11.795309773,0.307580188211,38.4898685429,0.529467809234,0.53076411781,0.524558335069,-0.00129630857652,0.172373626227
2017-10-05,181.860001,182.0,179.559998,180.770004,180.770004,10934100,2017-10-05,-4,0.293189682067,2.7969986,191.0599974,,,,,,,,,179.7559996,176.79149935,133.355799805,13.2004191677,-13.2004191677,0.301392296674,50.9688829391,0.504277734313,0.522753067281,0.516707303832,-0.0184753329677,0.0171790243911
2017-10-04,179.619995,181.770004,178.139999,180.869995,180.869995,10696200,2017-10-04,-5,-0.0552833542125,2.0739991,187.599997,,,,,,,,,178.7379974,176.08199925,132.96009977,13.8112916085,-13.8112916085,0.346672555017,62.8385915178,0.558546809884,0.520157820115,0.505950230104,0.0383889897684,-0.056864322736
2017-10-03,179.25,180.580002,177.580002,179.369995,179.369995,9758300,2017-10-03,-6,0.836260267499,1.2470016,184.0340024,,,,,,,,,177.7099976,175.3289994,132.557799815,14.3440423459,-14.3440423459,0.281719441602,60.1948313836,0.505434657645,0.507211024099,0.491670487486,-0.00177636645381,0.0401653562222
2017-10-02,180.800003,181.979996,177.0,179.0,179.0,12587000,2017-10-02,-7,0.206701117318,0.6000015,181.4620024,,,,,,,,,176.228,174.65599985,132.154499835,14.801487318,-14.801487318,0.29348403013,60.5434496505,0.496491992817,0.490481846097,0.460036234295,0.00601014672071,-0.00778651317452
2017-09-29,179.080002,179.729996,177.25,178.770004,178.770004,15477300,2017-09-29,-8,0.128654693099,0.5869995,180.9299986,,,,,,,,,174.628,174.2290002,131.74174982,14.7665238192,-14.7665238192,0.307520162199,60.8773102696,0.519706421834,0.477318592261,0.415726376414,0.042387829573,-0.0363776828523
2017-09-28,176.020004,176.179993,173.759995,175.679993,175.679993,10881100,2017-09-28,-9,1.75888611289,1.0979995,180.9339964,1.49151534545,188.813817855,,,,,,,174.6739992,173.7625001,131.30374979,14.751984084,-14.751984084,0.129982034219,62.7201248971,0.455247123639,0.412308264528,0.388557302641,0.0429388591104,-0.00055102953735
