Date,Open,High,Low,Close,Adj Close,Volume,Date,DaysBack,NextDayGain|Loss%,LstSqk_5Days,LstSqbias_5Days,LstSqk_10Days,LstSqbias_10Days,LstSqk_20Days,LstSqbias_20Days,LstSqk_50Days,LstSqbias_50Days,LstSqk_200Days,LstSqbias_200Days,5DMovAve,20DMovAve,200DMovAve,UpBlg,LwBlg,NormalizedBollinger,14-Day RSI,StcOsc K%,StcOsc D%,StcOsc D%D%,StcOsc K%-D%,StcOsc Diff(K%-D%)
2017-09-14,12.15,12.46,12.11,12.26,12.26,37220200,2017-09-14,-19,2.1207177814,0.356,13.656,0.0102424242424,12.9690909091,0.0413984962406,13.4822857143,,,,,12.316,12.4785,12.38365,0.62647804179,-0.62647804179,-0.348775193103,46.0,0.211538461538,0.211538461538,0.264529040603,1.38777878078e-16,0.119658119658
2017-09-13,12.22,12.36,12.12,12.22,12.22,37210700,2017-09-13,-20,0.327332242226,0.262,13.164,0.0607878787879,13.1445454545,0.0413233082707,13.3985714286,,,,,12.39,12.497,12.3665,0.621139868987,-0.621139868987,-0.445954307283,45.6375838926,0.185897435897,0.282129935504,0.320123922885,-0.0962324996067,0.0962324996067
2017-09-12,12.66,12.68,12.21,12.3,12.3,54413100,2017-09-12,-21,-0.650406504065,0.186,12.848,0.12,13.396,0.0404511278195,13.3202857143,,,,,12.518,12.537,12.34925,0.648467018195,-0.648467018195,-0.365477338631,52.0249221184,0.237179487179,0.299918724765,0.373319874854,-0.0627392375859,-0.0334932620209
2017-09-11,12.46,12.74,12.4,12.55,12.55,43346100,2017-09-11,-22,-1.99203187251,-0.01,12.35,0.153090909091,13.5389090909,0.0375338345865,13.2465714286,,,,,12.642,12.56,12.33175,0.645698316392,-0.645698316392,-0.0154871086793,58.1168831169,0.423312883436,0.378323108384,0.466257668712,0.0449897750511,-0.107729012637
2017-09-08,12.57,12.61,12.04,12.25,12.25,60886200,2017-09-08,-23,2.44897959184,-0.031,12.254,0.155818181818,13.4461818182,0.0413082706767,13.2334285714,,,,,12.77,12.544,12.31245,0.662384846002,-0.662384846002,-0.443850733866,48.064516129,0.239263803681,0.441717791411,0.571233810498,-0.20245398773,0.247443762781
2017-09-07,12.84,12.94,12.6,12.63,12.63,35816900,2017-09-07,-24,-3.00870942201,-0.077,12.236,0.117757575758,13.1969090909,0.0364436090226,13.1517142857,,,,,12.92,12.5375,12.2959,0.67692415808,-0.67692415808,0.136647509024,55.2727272727,0.472392638037,0.578732106339,0.682150160678,-0.106339468303,-0.0961145194274
2017-09-06,13.02,13.08,12.75,12.86,12.86,34182400,2017-09-06,-25,-1.78849144635,-0.12,12.278,0.035696969697,12.7396363636,0.0276992481203,13.0461428571,,,,,12.928,12.5475,12.2763,0.688488045994,-0.688488045994,0.453893138477,54.0925266904,0.613496932515,0.693251533742,0.742807940096,-0.079754601227,-0.0265848670757
2017-09-05,12.88,13.18,12.65,12.92,12.92,51445500,2017-09-05,-26,-0.46439628483,-0.135,12.372,-0.0189696969697,12.4736363636,0.0156842105263,12.907,,,,,12.786,12.56,12.2543,0.720701412735,-0.720701412735,0.499513381879,48.4076433121,0.650306748466,0.774466841952,0.698858598439,-0.124160093485,0.0444054922583
2017-09-01,13.12,13.49,13.04,13.19,13.19,53158600,2017-09-01,-27,-2.04700530705,-0.217,12.336,-0.0881212121212,12.1734545455,0.0102706766917,12.8795714286,,,,,12.648,12.5855,12.22805,0.805441363152,-0.805441363152,0.750520183908,56.8690095847,0.815950920245,0.760705444593,0.55692549339,0.0552454756523,-0.179405569138
2017-08-31,12.82,13.16,12.79,13.0,13.0,51822100,2017-08-31,-28,1.46153846154,-0.107,12.706,-0.108242424242,12.1309090909,0.00766165413534,12.8672857143,,,,,12.496,12.582,12.19695,0.794920717664,-0.794920717664,0.525838603413,61.0951008646,0.857142857143,0.561403508772,0.388947384899,0.295739348371,-0.240493872719
2017-08-30,12.19,12.68,12.16,12.67,12.67,43933000,2017-08-30,-29,2.6045777427,0.03,12.988,-0.0872121212121,12.2665454545,0.0103007518797,12.8888571429,,,,,12.396,12.594,12.1659,0.828045256837,-0.828045256837,0.0917824229683,58.4615384615,0.609022556391,0.348667526805,0.304761465355,0.260355029586,0.0353843187851
2017-08-29,12.0,12.18,11.93,12.15,12.15,33618100,2017-08-29,-30,4.27983539095,0.206,13.198,-0.0301818181818,12.5161818182,0.0202631578947,12.954,,,,,12.358,12.629,12.136,0.897807856599,-0.897807856599,-0.533521729042,40.1162790698,0.218045112782,0.256771119119,0.307447338486,-0.0387260063373,0.299081035923
2017-08-28,12.53,12.55,12.16,12.23,12.23,35969600,2017-08-28,-31,-0.654129190515,0.277,13.202,0.016303030303,12.7183636364,0.0327744360902,13.0618571429,,,,,12.362,12.707,12.10675,0.989015459409,-0.989015459409,-0.482297819981,37.9120879121,0.218934911243,0.308845750141,0.32036813871,-0.0899108388987,0.0511848325614
2017-08-25,12.51,12.57,12.25,12.43,12.43,29732000,2017-08-25,-32,-1.60901045857,0.158,12.812,0.0343636363636,12.7876363636,0.0395714285714,13.1174285714,,,,,12.326,12.776,12.0803,1.04012954659,-1.04012954659,-0.33265087136,36.7021276596,0.333333333333,0.356725146199,0.2845438879,-0.0233918128655,-0.0665190260332
2017-08-24,12.69,12.71,12.39,12.5,12.5,37269700,2017-08-24,-33,-0.56,0.006,12.408,0.0671515151515,12.9601818182,0.0342030075188,13.0264285714,,,,,12.314,12.852,12.05315,1.15000411899,-1.15000411899,-0.306085860206,42.25,0.374269005848,0.29553351979,0.21574079507,0.0787354860581,-0.102127298924
2017-08-23,12.0,12.54,11.95,12.48,12.48,44345400,2017-08-23,-34,0.160256410256,-0.093,12.172,0.0787272727273,12.9972727273,0.0261804511278,12.9037142857,,,,,12.282,12.933,12.02545,1.26778879197,-1.26778879197,-0.3573150377,40.7317073171,0.362573099415,0.201372997712,0.172537437984,0.161200101704,-0.0824646156454
2017-08-22,12.2,12.33,12.1,12.17,12.17,39033200,2017-08-22,-35,2.5472473295,0.007,12.376,0.0900606060606,12.9792727273,0.015977443609,12.7282857143,,,,,12.312,13.047,11.99585,1.48730912088,-1.48730912088,-0.589655497763,34.693877551,0.149758454106,0.150315867707,0.176893625206,-0.000557413600891,0.161757515304
2017-08-21,12.42,12.42,11.86,12.05,12.05,58888500,2017-08-21,-36,0.995850622407,0.109,12.544,0.0955757575758,12.9170909091,0.0149172932331,12.6647142857,,,,,12.482,13.144,11.9685,1.49947920784,-1.49947920784,-0.729586642003,29.9516908213,0.0917874396135,0.165923448532,0.208600584485,-0.0741360089186,0.0735785953177
2017-08-18,12.43,12.56,12.25,12.37,12.37,37521700,2017-08-18,-37,-2.58690379951,0.069,12.452,0.0550909090909,12.6529090909,0.00830827067669,12.5664285714,,,,,12.624,13.2495,11.94205,1.47204798263,-1.47204798263,-0.597466937477,34.1836734694,0.209401709402,0.214441559378,0.239198411721,-0.00503984997656,-0.0690961589421
2017-08-17,12.46,12.65,12.32,12.34,12.34,47371000,2017-08-17,-38,0.243111831442,0.008,12.298,0.0189696969697,12.4243636364,0.0099022556391,12.5725714286,,,,,12.596,13.325,11.91565,1.43658220129,-1.43658220129,-0.685655160643,30.9692671395,0.196581196581,0.245436745546,0.237567582468,-0.0488555489647,0.0438156989881
2017-08-16,13.17,13.19,12.52,12.63,12.63,64639400,2017-08-16,-39,-2.29612034838,-0.121,12.07,-0.0189696969697,12.2496363636,0.0111879699248,12.6032857143,,,,,12.552,13.398,11.8901,1.37279737455,-1.37279737455,-0.559441629359,31.8734793187,0.237341772152,0.25771693024,0.192320312364,-0.0203751580879,-0.0284803908767
2017-08-15,13.01,13.14,12.75,13.02,13.02,57990300,2017-08-15,-40,-2.99539170507,-0.22,12.042,-0.044,12.224,0.00809022556391,12.6138571429,,,,,12.592,13.444,11.86295,1.32527494665,-1.32527494665,-0.319933611567,30.0458715596,0.302387267905,0.209549071618,0.127404740448,0.0928381962865,-0.113213354374
2017-08-14,12.58,12.85,12.58,12.76,12.76,64426100,2017-08-14,-41,2.03761755486,-0.146,12.332,-0.0496363636364,12.2516363636,0.00864661654135,12.6421428571,,,,,12.61,13.467,11.8334,1.31017234704,-1.31017234704,-0.539623662182,35.7894736842,0.233421750663,0.109694935236,0.0720320476306,0.123726815428,-0.0308886191411
2017-08-11,12.04,12.39,11.88,12.23,12.23,63558800,2017-08-11,-42,4.33360588716,0.009,12.614,-0.0332727272727,12.3052727273,0.0135187969925,12.6724285714,,,,,12.744,13.519,11.80605,1.27408006028,-1.27408006028,-1.01171036278,27.4004683841,0.0928381962865,0.0629702144893,0.0669516977594,0.0298679817971,0.0938588336304
2017-08-10,12.7,12.92,12.11,12.12,12.12,83113400,2017-08-10,-43,0.907590759076,0.181,12.914,-0.018,12.336,0.0242180451128,12.7675714286,,,,,12.922,13.6035,11.7824,1.1301658006,-1.1301658006,-1.31263925984,30.1801801802,0.00282485875706,0.043430993167,0.0713101687217,-0.0406061344099,0.070474116207
2017-08-09,12.76,12.89,12.54,12.83,12.83,58861500,2017-08-09,-44,-5.53390491037,0.102,12.796,-0.0447272727273,12.2507272727,0.0185789473684,12.724,,,,,13.146,13.674,11.75685,0.891158914296,-0.891158914296,-0.947081363897,37.2703412073,0.0932475884244,0.0944538856218,0.0852968553492,-0.0012062971974,-0.0393998372125
2017-08-08,13.48,13.55,13.08,13.11,13.11,47338000,2017-08-08,-45,-2.13577421815,-0.13,12.35,-0.0618181818182,12.2678181818,0.00560902255639,12.6132857143,,,,,13.254,13.747,11.7253,0.837643310599,-0.837643310599,-0.760466886012,44.1798941799,0.0342205323194,0.0760456273764,0.0759337659504,-0.041825095057,0.0406187978596
